vault_path	type	declared_source	confidence	extracted_source_urls	use_decision	review_note
30_Knowledge/Payloads_Scripts/payloads-all-the-things.md	reference	https://swisskyrepo.github.io/PayloadsAllTheThings/	high	https://swisskyrepo.github.io/PayloadsAllTheThings/; https://github.com/swisskyrepo/PayloadsAllTheThings	discovery-only-tier-4	No payload copied; every candidate still requires authoritative source or independent lab evidence.
30_Knowledge/Tools/hacktricks.md	reference	https://hacktricks.wiki/	high	https://hacktricks.wiki/	discovery-only-tier-4	Index source only; community claims are not accepted as sole evidence.
30_Knowledge/Tools/pentest-book.md	reference	https://six2dez.gitbook.io/pentest-book	high	https://six2dez.gitbook.io/pentest-book	discovery-only-tier-4	Index source only; offensive examples are not imported.
40_Playbooks/api-security-testing.md	playbook	redteam-kit-2026-04-11	medium		internal-discovery-only	No external primary source; cannot support a claim by itself.
30_Knowledge/Vulnerabilities/stored-xss.md	vulnerability	auto-import	medium		rejected-as-evidence	Duplicate frontmatter/BOM and internal encounter link; no engagement data imported.
30_Knowledge/Techniques/second-order-sqli.md	technique	auto-import	medium		rejected-as-evidence	Duplicate frontmatter/BOM and internal encounter link; no engagement data imported.
90_System/Templates/tpl-vulnerability.md	template	auto-import	medium		structure-reference-only	Duplicate frontmatter/BOM; not copied into lesson contract.
90_System/Templates/tpl-technique.md	template	auto-import	medium		structure-reference-only	Duplicate frontmatter/BOM; not copied into lesson contract.
90_System/Templates/tpl-playbook.md	template	auto-import	medium		structure-reference-only	Duplicate frontmatter/BOM; not copied into lesson contract.
90_System/Templates/tpl-pentest.md	template	auto-import	medium		rejected-as-evidence	Contains engagement fields; no target/client data imported.
